,precision,recall,f1-score,support
A,0.9946236559139785,1.0,0.9973045822102425,370.0
B,1.0,0.9817073170731707,0.9907692307692307,328.0
C,1.0,1.0,1.0,338.0
D,0.980225988700565,0.9830028328611898,0.9816124469589816,353.0
E,0.982089552238806,0.9909638554216867,0.9865067466266868,332.0
F,0.9912023460410557,0.9941176470588236,0.9926578560939794,340.0
G,0.9968847352024922,0.9846153846153847,0.9907120743034056,325.0
H,0.9909638554216867,0.9939577039274925,0.9924585218702865,331.0
I,0.9835526315789473,0.9966666666666667,0.990066225165563,300.0
J,0.9972375690607734,1.0,0.9986168741355463,361.0
K,0.9914772727272727,0.9943019943019943,0.9928876244665717,351.0
L,0.9941860465116279,0.991304347826087,0.9927431059506532,345.0
M,0.9762611275964391,0.9676470588235294,0.9719350073855244,340.0
N,0.9705093833780161,0.9863760217983651,0.9783783783783785,367.0
O,0.9968652037617555,0.99375,0.9953051643192489,320.0
P,0.9973045822102425,0.9919571045576407,0.9946236559139784,373.0
Q,0.996996996996997,0.9940119760479041,0.9955022488755623,334.0
R,0.9866220735785953,0.9640522875816994,0.9752066115702479,306.0
S,0.9715909090909091,0.9884393063583815,0.979942693409742,346.0
T,0.9881656804733728,0.9681159420289855,0.9780380673499269,345.0
U,0.9662576687116564,0.9782608695652174,0.9722222222222223,322.0
V,0.9811827956989247,0.9838274932614556,0.9825033647375504,371.0
W,0.990909090909091,0.990909090909091,0.990909090909091,330.0
X,1.0,0.9971014492753624,0.9985486211901305,345.0
Y,0.9941860465116279,0.991304347826087,0.9927431059506532,345.0
Z,0.9851632047477745,0.9940119760479041,0.9895678092399404,334.0
DEL,1.0,1.0,1.0,313.0
NOTHING,1.0,1.0,1.0,302.0
SPACE,1.0,1.0,1.0,334.0
accuracy,0.9896949290888685,0.9896949290888685,0.9896949290888685,0.9896949290888685
macro avg,0.9898089109331933,0.9896690577184178,0.9897159079311497,9801.0
weighted avg,0.9897399797667331,0.9896949290888685,0.9896947975346383,9801.0
