epoch,loss,accuracy,val_loss,val_accuracy
0,0.047847432456494865,0,0.04202387123691793,57.5
1,0.038525120146640536,0,0.034271053027133555,68.68367346938776
2,0.032333195938549206,0,0.028994576955328182,74.15306122448979
3,0.02814425325889337,0,0.025770343152844176,76.09183673469387
4,0.02518558946314777,0,0.0226746376558226,77.93877551020408
5,0.023005346263308708,0,0.020969446532580316,79.72448979591837
6,0.02133089523140276,0,0.019514770307102983,80.39795918367346
7,0.02000284680267445,0,0.018268493888329487,81.04081632653062
8,0.018934057049434728,0,0.017118574806622096,82.18367346938776
9,0.018045479468595055,0,0.016448738495914304,82.29591836734694
