,precision,recall,f1-score,support
0,0.9,0.8311345646437994,0.8641975308641975,379.0
1,0.8881987577639752,0.8614457831325302,0.8746177370030581,332.0
2,0.9547038327526133,0.8726114649681529,0.9118136439267887,314.0
3,0.9744525547445255,0.8215384615384616,0.8914858096828047,325.0
4,0.7473684210526316,0.773841961852861,0.7603748326639893,367.0
5,0.96,0.8834355828220859,0.9201277955271565,326.0
6,0.7191601049868767,0.8058823529411765,0.7600554785020804,340.0
7,0.6275395033860045,0.8553846153846154,0.7239583333333334,325.0
8,0.8788819875776398,0.7796143250688705,0.8262773722627738,363.0
9,0.9464882943143813,0.7796143250688705,0.8549848942598187,363.0
10,0.9010238907849829,0.75,0.8186046511627907,352.0
11,0.891566265060241,0.8554913294797688,0.8731563421828908,346.0
12,0.9285714285714286,0.7201166180758017,0.8111658456486043,343.0
13,0.775623268698061,0.8187134502923976,0.7965860597439545,342.0
14,0.9248366013071896,0.8323529411764706,0.8761609907120743,340.0
15,0.6271186440677966,0.8629737609329446,0.7263803680981595,343.0
16,0.95,0.8382352941176471,0.890625,340.0
17,0.8325991189427313,0.6385135135135135,0.722753346080306,296.0
18,0.7978723404255319,0.646551724137931,0.7142857142857143,348.0
19,0.4124031007751938,0.8036253776435045,0.5450819672131147,331.0
20,0.7158774373259053,0.7581120943952803,0.7363896848137536,339.0
21,0.7883211678832117,0.6467065868263473,0.7105263157894737,334.0
22,0.7911764705882353,0.8005952380952381,0.7958579881656804,336.0
23,0.8626609442060086,0.6300940438871473,0.7282608695652174,319.0
24,0.8694158075601375,0.7620481927710844,0.812199036918138,332.0
25,0.5860655737704918,0.8056338028169014,0.6785290628706999,355.0
26,0.9217687074829932,0.9063545150501672,0.9139966273187183,299.0
27,0.9465875370919882,0.9494047619047619,0.9479940564635958,336.0
28,0.8391812865497076,0.8567164179104477,0.8478581979320532,335.0
accuracy,0.7981632653061225,0.7981632653061225,0.7981632653061225,0.7981632653061225
macro avg,0.8261883809541547,0.798163555187889,0.8046312259652049,9800.0
weighted avg,0.825697307499506,0.7981632653061225,0.8044615672184174,9800.0
