epoch,loss,accuracy,val_loss,val_accuracy
0,0.047245735567191555,0,0.041153112279957736,60.01149425287356
1,0.03750579510269494,0,0.03289235804272794,74.89655172413794
2,0.03087707663747086,0,0.027313808476787875,79.93103448275862
3,0.026286000008213108,0,0.02348622798919678,82.63218390804597
4,0.023021105390855636,0,0.02055710987112988,84.65517241379311
5,0.020579635639642848,0,0.018661099459933137,86.03448275862068
6,0.0186751942285176,0,0.01688595376480585,87.05747126436782
7,0.017225672939214214,0,0.01546300436573467,87.71264367816092
8,0.01598651542488871,0,0.014309636765512926,88.42528735632185
9,0.015009499209365626,0,0.0134352834608363,88.80459770114942
