,precision,recall,f1-score,support
A,0.9946236559139785,1.0,0.9973045822102425,370.0
B,0.9969418960244648,0.9939024390243902,0.9954198473282444,328.0
C,1.0,1.0,1.0,338.0
D,0.9971428571428571,0.9886685552407932,0.9928876244665719,353.0
E,1.0,0.9939759036144579,0.9969788519637462,332.0
F,0.9970674486803519,1.0,0.9985315712187959,340.0
G,1.0,1.0,1.0,325.0
H,1.0,1.0,1.0,331.0
I,0.9933774834437086,1.0,0.9966777408637874,300.0
J,1.0,0.997229916897507,0.9986130374479889,361.0
K,0.9971509971509972,0.9971509971509972,0.9971509971509972,351.0
L,0.9971098265895953,1.0,0.9985528219971056,345.0
M,0.9911764705882353,0.9911764705882353,0.9911764705882353,340.0
N,0.994535519125683,0.9918256130790191,0.9931787175989086,367.0
O,1.0,1.0,1.0,320.0
P,1.0,0.9946380697050938,0.9973118279569892,373.0
Q,0.9940476190476191,1.0,0.9970149253731343,334.0
R,0.9837133550488599,0.9869281045751634,0.9853181076672104,306.0
S,0.9941520467836257,0.9826589595375722,0.9883720930232557,346.0
T,0.98005698005698,0.9971014492753624,0.9885057471264369,345.0
U,0.9845201238390093,0.9875776397515528,0.9860465116279069,322.0
V,1.0,0.9919137466307277,0.9959404600811907,371.0
W,0.9939759036144579,1.0,0.9969788519637462,330.0
X,1.0,1.0,1.0,345.0
Y,0.9971014492753624,0.9971014492753624,0.9971014492753624,345.0
Z,1.0,0.9970059880239521,0.9985007496251874,334.0
DEL,1.0,1.0,1.0,313.0
NOTHING,1.0,1.0,1.0,302.0
SPACE,1.0,1.0,1.0,334.0
accuracy,0.9961228446076931,0.9961228446076931,0.9961228446076931,0.9961228446076931
macro avg,0.996092883873303,0.9961674242196614,0.9961228616053464,9801.0
weighted avg,0.9961396502617257,0.9961228446076931,0.9961238052566824,9801.0
