,precision,recall,f1-score,support
A,0.9743589743589743,0.9967213114754099,0.9854132901134521,305.0
B,0.9962962962962963,0.9962962962962963,0.9962962962962963,270.0
C,0.9967213114754099,0.9967213114754099,0.9967213114754099,305.0
D,0.9933110367892977,0.9966442953020134,0.9949748743718593,298.0
E,0.991304347826087,0.9827586206896551,0.987012987012987,348.0
F,0.9967948717948718,0.9967948717948718,0.9967948717948718,312.0
G,0.9901960784313726,0.9869706840390879,0.9885807504078303,307.0
H,0.9829931972789115,0.993127147766323,0.9880341880341881,291.0
I,0.9885931558935361,0.9811320754716981,0.9848484848484849,265.0
J,0.9904153354632588,0.9904153354632588,0.9904153354632588,313.0
K,0.9826388888888888,0.9929824561403509,0.987783595113438,285.0
L,0.9932885906040269,0.9966329966329966,0.9949579831932773,297.0
M,0.9453924914675768,0.9685314685314685,0.9568221070811744,286.0
N,0.9742647058823529,0.9464285714285714,0.9601449275362319,280.0
O,0.9935691318327974,0.9967741935483871,0.9951690821256038,310.0
P,0.993421052631579,0.9869281045751634,0.9901639344262295,306.0
Q,0.9933774834437086,0.9966777408637874,0.9950248756218906,301.0
R,0.975,0.9811320754716981,0.9780564263322884,318.0
S,0.9695121951219512,0.9695121951219512,0.9695121951219512,328.0
T,0.9895470383275261,0.9793103448275862,0.9844020797227037,290.0
U,0.9719626168224299,0.9780564263322884,0.975,319.0
V,0.9666666666666667,0.9815384615384616,0.9740458015267176,325.0
W,0.9961832061068703,0.9666666666666667,0.981203007518797,270.0
X,0.9801980198019802,0.9611650485436893,0.9705882352941176,309.0
Y,0.9861111111111112,0.993006993006993,0.9895470383275261,286.0
Z,1.0,0.990506329113924,0.9952305246422893,316.0
DEL,0.9933554817275747,0.9966666666666667,0.9950083194675541,300.0
NOTHING,1.0,1.0,1.0,282.0
SPACE,1.0,1.0,1.0,278.0
accuracy,0.9862068965517241,0.9862068965517241,0.9862068965517241,0.9862068965517241
macro avg,0.9863956305532778,0.9862102996132647,0.9862673283748423,8700.0
weighted avg,0.9862689667857218,0.9862068965517241,0.9862034013249286,8700.0
