,precision,recall,f1-score,support
0,0.6615384615384615,0.6213872832369942,0.6408345752608048,346.0
1,0.7466216216216216,0.6737804878048781,0.7083333333333334,328.0
2,0.6830601092896175,0.6544502617801047,0.6684491978609626,382.0
3,0.5830324909747292,0.8411458333333334,0.6886993603411514,384.0
4,0.85625,0.8303030303030303,0.8430769230769231,330.0
5,0.6330645161290323,0.5080906148867314,0.5637342908438061,309.0
6,0.7839506172839507,0.7341040462427746,0.7582089552238805,346.0
7,0.6540697674418605,0.677710843373494,0.665680473372781,332.0
8,0.5748218527315915,0.6759776536312849,0.6213093709884467,358.0
9,0.5813253012048193,0.5626822157434402,0.5718518518518518,343.0
10,0.5191873589164786,0.6804733727810651,0.58898847631242,338.0
11,0.5635910224438903,0.6277777777777778,0.5939553219448095,360.0
12,0.8502202643171806,0.5676470588235294,0.6807760141093474,340.0
13,0.4388888888888889,0.23939393939393938,0.30980392156862746,330.0
14,0.5183752417794971,0.7701149425287356,0.6196531791907515,348.0
15,0.7513966480446927,0.9471830985915493,0.838006230529595,284.0
16,0.7100840336134454,0.4970588235294118,0.5847750865051903,340.0
17,0.6697247706422018,0.6636363636363637,0.6666666666666666,330.0
18,0.5944700460829493,0.7962962962962963,0.6807387862796834,324.0
19,0.554006968641115,0.44662921348314605,0.49455676516329705,356.0
20,0.4763636363636364,0.39939024390243905,0.43449419568822556,328.0
21,0.8899521531100478,0.6595744680851063,0.7576374745417516,282.0
22,0.314873417721519,0.5669515669515669,0.40488301119023395,351.0
23,0.5303867403314917,0.2467866323907455,0.3368421052631579,389.0
24,0.48936170212765956,0.359375,0.4144144144144144,320.0
25,0.5555555555555556,0.6647398843930635,0.6052631578947368,346.0
26,0.30294906166219837,0.3754152823920266,0.3353115727002967,301.0
27,0.6156716417910447,0.4896142433234421,0.5454545454545454,337.0
28,0.5940959409594095,0.47633136094674555,0.5287356321839081,338.0
accuracy,0.5938775510204082,0.5938775510204082,0.5938775510204082,0.5938775510204082
macro avg,0.610237580386503,0.594966270329759,0.5914184444743311,9800.0
weighted avg,0.6082706347861416,0.5938775510204082,0.5896618035394582,9800.0
