epoch,loss,accuracy,val_loss,val_accuracy
0,0.050425951733712934,0,0.04763688009612414,40.97959183673469
1,0.045931398046768546,0,0.043019041552835584,58.96938775510204
2,0.04211219924193059,0,0.03901622713828574,65.66326530612245
3,0.0388099039766331,0,0.03574159344848321,69.10204081632654
4,0.03603124941165453,0,0.033484256048591766,70.9795918367347
5,0.03366715370578643,0,0.03076251325558643,72.8061224489796
6,0.03168726498341273,0,0.028652216962405615,74.33673469387755
7,0.029959695844441664,0,0.026985934449701893,75.24489795918367
8,0.02852350188247343,0,0.025796185038527663,75.61224489795919
9,0.02724561230137856,0,0.024580648687421058,76.5204081632653
