,precision,recall,f1-score,support
0,0.839541547277937,0.846820809248555,0.8431654676258993,346.0
1,0.7694369973190348,0.875,0.818830242510699,328.0
2,0.9110512129380054,0.8848167539267016,0.897742363877822,382.0
3,0.8903743315508021,0.8671875,0.8786279683377308,384.0
4,0.937888198757764,0.9151515151515152,0.9263803680981595,330.0
5,0.7975460122699386,0.8414239482200647,0.8188976377952756,309.0
6,0.9337539432176656,0.8554913294797688,0.8929110105580694,346.0
7,0.852760736196319,0.8373493975903614,0.8449848024316109,332.0
8,0.8212435233160622,0.8854748603351955,0.8521505376344086,358.0
9,0.8741496598639455,0.749271137026239,0.8069073783359497,343.0
10,0.8538681948424068,0.8816568047337278,0.8675400291120815,338.0
11,0.8681948424068768,0.8416666666666667,0.8547249647390691,360.0
12,0.8386167146974063,0.8558823529411764,0.8471615720524017,340.0
13,0.8344155844155844,0.7787878787878788,0.8056426332288401,330.0
14,0.7861111111111111,0.8132183908045977,0.7994350282485876,348.0
15,0.9578947368421052,0.9612676056338029,0.9595782073813708,284.0
16,0.8953846153846153,0.8558823529411764,0.8751879699248121,340.0
17,0.8482142857142857,0.8636363636363636,0.8558558558558559,330.0
18,0.8411214953271028,0.8333333333333334,0.8372093023255814,324.0
19,0.8733333333333333,0.7359550561797753,0.7987804878048781,356.0
20,0.7375,0.7195121951219512,0.7283950617283951,328.0
21,0.8438538205980066,0.900709219858156,0.8713550600343053,282.0
22,0.6805896805896806,0.7891737891737892,0.7308707124010554,351.0
23,0.7941176470588235,0.7634961439588689,0.7785058977719528,389.0
24,0.7381703470031545,0.73125,0.7346938775510204,320.0
25,0.7234567901234568,0.846820809248555,0.7802929427430093,346.0
26,0.7118055555555556,0.6810631229235881,0.6960950764006791,301.0
27,0.8229813664596274,0.7863501483679525,0.8042488619119879,337.0
28,0.7902298850574713,0.8136094674556213,0.8017492711370262,338.0
accuracy,0.8275510204081633,0.8275510204081633,0.8275510204081633,0.8275510204081633
macro avg,0.8299174541113129,0.8279744466463925,0.8278593306744321,9800.0
weighted avg,0.8302732105958444,0.8275510204081633,0.8278079451803332,9800.0
