,precision,recall,f1-score,support
0,0.8587896253602305,0.8514285714285714,0.8550932568149211,350.0
1,0.8342245989304813,0.8914285714285715,0.861878453038674,350.0
2,0.918918918918919,0.9053254437869822,0.9120715350223547,338.0
3,0.8888888888888888,0.8343558282208589,0.8607594936708861,326.0
4,0.9125,0.8957055214723927,0.9040247678018576,326.0
5,0.7928176795580111,0.8516320474777448,0.821173104434907,337.0
6,0.9246987951807228,0.8924418604651163,0.908284023668639,344.0
7,0.8291925465838509,0.8066465256797583,0.8177641653905053,331.0
8,0.8441176470588235,0.8940809968847352,0.8683812405446294,321.0
9,0.84375,0.7546583850931677,0.7967213114754098,322.0
10,0.887240356083086,0.8742690058479532,0.8807069219440353,342.0
11,0.9096989966555183,0.7727272727272727,0.8356374807987711,352.0
12,0.8745980707395499,0.8774193548387097,0.8760064412238325,310.0
13,0.8635014836795252,0.8174157303370787,0.8398268398268398,356.0
14,0.8100263852242744,0.8387978142076503,0.8241610738255034,366.0
15,0.9090909090909091,0.9523809523809523,0.9302325581395349,315.0
16,0.8703703703703703,0.8840125391849529,0.8771384136858476,319.0
17,0.8618618618618619,0.8176638176638177,0.8391812865497076,351.0
18,0.8242811501597445,0.8403908794788274,0.832258064516129,307.0
19,0.7798165137614679,0.7657657657657657,0.7727272727272727,333.0
20,0.7713414634146342,0.6931506849315069,0.7301587301587301,365.0
21,0.8672839506172839,0.878125,0.8726708074534162,320.0
22,0.6395939086294417,0.8155339805825242,0.716927453769559,309.0
23,0.7631578947368421,0.7543352601156069,0.7587209302325582,346.0
24,0.7368421052631579,0.7544910179640718,0.7455621301775148,334.0
25,0.7728531855955678,0.8134110787172012,0.7926136363636364,343.0
26,0.8125,0.7857142857142857,0.7988826815642458,364.0
27,0.8057971014492754,0.8128654970760234,0.8093158660844251,342.0
28,0.7814070351758794,0.8162729658792651,0.7984595635430038,381.0
accuracy,0.8313265306122449,0.8313265306122449,0.8313265306122449,0.8313265306122449
macro avg,0.8341090152754591,0.8324981605293573,0.8323220518774948,9800.0
weighted avg,0.8338470286304035,0.8313265306122449,0.8316245658311066,9800.0
